accession,name
JFGO01000001.1,Sinorhizobium_americanum_CCGM7
KI911771.1,Rhizobium_leguminosarum_bv._trifolii_CC283b
CP007569.1,Bradyrhizobium_japonicum_SEMIA_5079
LFIQ01000001.1,Bradyrhizobium_pachyrhizi_PAC_48
AZUW01000001.1,Ensifer_sp._WSM1721
JRPN01000001.1,Bradyrhizobium_japonicum_Is-34
AXAE01000005.1,Mesorhizobium_erdmanii_USDA_3471
AYXF01000001.1,Mesorhizobium_sp._L103C105A0
AYWU01000001.1,Mesorhizobium_sp._L48C026A00
ATTN01000001.1,Rhizobium_leguminosarum_bv._phaseoli_FA23
ATYB01000007.1,Sinorhizobium_arboris_LMG_14919
AEYE02000001.1,Rhizobium_grahamii_CCGE_502
